"conversion_id","campaign_id","order_id","conversion_value","attribution_model"
"CONV010E58DE7131","CAMP4043AB955CD9","ORD3899709D1B90","4451.96","Linear"
"CONV011000E5F3B3","CAMP56ACCF38F8EC","ORD9502698C5FD4","4161.42","First Click"
"CONV0112621D4E0F","CAMP52A006F7C080","ORD1C7D2BC3BD2F","2671.96","Linear"
"CONV01131C3F99D3","CAMP22A66C491CAD","ORD877E3C7A8D2F","3007.45","Linear"
"CONV0117BC45EAEF","CAMPF5F356FCA79F","ORD6D2E130A69AE","3201.66","Linear"
"CONV011853FBBD19","CAMPD76C70F2367A","ORD07C89CE9A774","4052.82","First Click"
"CONV012B4477544D","CAMPAC268FC6EC39","ORD82B493CA62E8","3326.67","Last Click"
"CONV012D1150792B","CAMPAB72B7AFD17F","ORD9E32D6E2B24F","3812.63","First Click"
"CONV0133EC7EAF9F","CAMP76D8CA6D81D7","ORD7C2DA8387143","2287.08","Last Click"
"CONV01352B4D7282","CAMP9B4E857B4020","ORD5CF4A60D5A96","3508.49","Last Click"
"CONV0136EA08159F","CAMP8CA4BE34D296","ORD834035C83EFD","3833.31","Linear"
"CONV0137605D25E4","CAMP56ACCF38F8EC","ORD98FB8041761F","1949.57","Last Click"
"CONV014CEE7490A0","CAMP193256F0B0BD","ORD2CE15CF81907","4092.95","First Click"
"CONV015116C52EC4","CAMPF389428674F5","ORDEE963B145C0C","3433.88","Linear"
"CONV015324693D2C","CAMPE439A199CCA3","ORDF50B58BF5886","1085.11","First Click"
"CONV0154545BBA0A","CAMPB89B85B1812B","ORDA202DC17F0A3","2607.98","Linear"
"CONV015994ECC186","CAMPA65B62DFF7C5","ORD50015209B1BD","3372.20","First Click"
"CONV015C14A8755A","CAMP8FE3D5415F7E","ORD41B6A15AAA77","4725.85","Linear"
"CONV015E06E7E562","CAMP797302B7BB9A","ORDCA40412CE4F0","3776.97","First Click"
"CONV0160969336A9","CAMPC3EE760B0E9D","ORD62CA0F1E3B1C","1820.26","Last Click"
"CONV0160CA5EF32D","CAMP3C834C898B86","ORDEF5647844581","2991.17","Last Click"
"CONV016A38B0B755","CAMPD5034F4F118F","ORD84D1291BB58C","3918.02","First Click"
"CONV017474B03CD3","CAMP9A871CB43616","ORD48CE2E403F5D","3807.86","Last Click"
"CONV017BD50164E3","CAMPC5C90C602891","ORDF1C0E8F87673","1516.06","First Click"
"CONV017F219DD9EB","CAMP3F61277FBFC1","ORD3E510A6DF850","4003.28","First Click"
"CONV0180D381615B","CAMPD754847C82FA","ORDE132D1578DE1","1483.81","Linear"
"CONV0183B4C360B9","CAMP04D8552E6166","ORD08ABFFD12E40","1789.82","Linear"
"CONV018517C349E4","CAMP991E2288AD26","ORD2F0E472403C5","4592.83","Last Click"
"CONV0188A039D54F","CAMPD5034F4F118F","ORDD09C4A2D61DC","1282.72","Linear"
"CONV018BF4D4BFC8","CAMPB89B85B1812B","ORD433E11A516AD","3496.29","First Click"
"CONV01908DCA45DE","CAMPB5D5FD8E3BC8","ORDC2A7DB2C3066","2800.93","Linear"
"CONV0198BF1F83E2","CAMP95B3BE5D090E","ORD73DEF8564604","4542.31","Linear"
"CONV019A54ADB850","CAMP52E11F897FB1","ORD5FDFBE15C89C","2366.30","First Click"
"CONV019CB0DB3A80","CAMP7D6D2A0B9471","ORD4FC64C060468","3751.09","Linear"
"CONV019EC5E9F66A","CAMPD28C19B633DD","ORD11539F181545","4496.15","Last Click"
"CONV01A1FB311869","CAMPEE79357F118B","ORD8FDEBCF9C56E","3630.22","First Click"
"CONV01A73D7FC466","CAMPB80E8F2D2CE1","ORD3FD40C7B2F90","1478.57","Last Click"
"CONV01AB3AC2A13F","CAMPC1D06FD165A2","ORD04E962217413","3501.15","Linear"
"CONV01AF100AFB5F","CAMP0351838C1135","ORD444CC5CBD38B","1480.98","Linear"
"CONV01B05FC9DFA6","CAMPBE9414933362","ORDB6FE85414BA7","2162.00","First Click"
"CONV01B790C06A46","CAMPBED67BA7DBDC","ORD1487DF087843","4757.61","Linear"
"CONV01BA35636A98","CAMP3AA65B0A5EF9","ORDD8524B4A2373","1816.51","First Click"
"CONV01BEFFAA81CD","CAMPBEE32F460F0A","ORDB6412BE73A65","3874.10","Last Click"
"CONV01C2EFEA6B9F","CAMPAD007F03D819","ORDC22D7491802F","3409.83","First Click"
"CONV01C38DF59BD4","CAMP68632A81C8F7","ORDFEBF1EDF8726","2684.94","Linear"
"CONV01C69B08FBA7","CAMP9EEC32B823E3","ORD16B36AC2D168","1620.43","Linear"
"CONV01CFDBBA068F","CAMP693885259C75","ORD32E811F356D9","2071.88","Last Click"
"CONV01D39B15F9B5","CAMP4DC1F2251163","ORDDC0730A2968D","1975.12","Last Click"
"CONV01D5A34C3F46","CAMP24F4471B32C5","ORDE2EE6BA4B7ED","4610.35","Linear"
"CONV01DDF44F8A21","CAMPAB4EEC1D854D","ORD3799296A0E56","2531.81","First Click"
"CONV01EAF07DA4F4","CAMPF54097C61703","ORD25E1C7126082","3318.97","Linear"
"CONV01EDC18FE9F8","CAMP9F9000FB7E97","ORDA24B9A5979A4","2536.49","First Click"
"CONV01F0E391C462","CAMP4F708B86E434","ORDAECB15F602F4","3766.81","First Click"
"CONV01F113562770","CAMP7C07C0913C51","ORD59DD613CF9BB","4353.47","Linear"
"CONV01FAE2999A26","CAMP3E873F61C107","ORD0FB48F692570","3782.00","First Click"
"CONV01FD618FC54F","CAMPD8AB9C21DB0B","ORDB6B12E62970D","2812.39","First Click"
"CONV01FF5C2C293E","CAMPE6EB554ABCA4","ORD672E224506A5","3214.31","Last Click"
"CONV0218735702C1","CAMP4BDEB866B33B","ORD2296732BCA4A","3253.59","Linear"
"CONV0218FC4CC245","CAMPFBFA9A6D425C","ORDB38BB3AD0E0B","1507.96","Linear"
"CONV0220D1EF147B","CAMP7301AF07D940","ORDE4326EDAF66D","2210.75","First Click"
"CONV0224F192170B","CAMPAB4EEC1D854D","ORDEB014E329534","1086.08","First Click"
"CONV02250A7E94AE","CAMPD8C5EBE8A1C2","ORD8EB09FCA7606","3505.15","Last Click"
"CONV022539E48AB4","CAMP6647D43FC242","ORDAF9C6A099071","1694.44","First Click"
"CONV0229BE34D0B2","CAMP963D076FD00D","ORD0B57832714CA","2028.93","Linear"
"CONV022C03442D25","CAMPF5F6A566540D","ORD5EFFFEF5C0C1","2785.39","Last Click"
"CONV0230C1F48031","CAMP3E873F61C107","ORDCBAD81E11E1B","3087.69","First Click"
"CONV0231F0AC5B7D","CAMPB14C6156C36B","ORDC2B0EBD67923","3570.93","First Click"
"CONV0233DB1C9E0D","CAMP7231AE12D48C","ORDBB3203C51173","3199.43","Last Click"
"CONV02345A0473E7","CAMPF54097C61703","ORD88ECBFFEEF24","1762.77","First Click"
"CONV0236363349D9","CAMPE3D3C23475E0","ORD9B806C654F4F","3296.77","First Click"
"CONV023846EB88D1","CAMPEF66D1A924B8","ORD3414DD72BE8F","4653.72","Linear"
"CONV02435B07518C","CAMP5159379D3395","ORD152CC8CD8CF5","1188.74","Last Click"
"CONV0244B8C612A1","CAMP04A60E73B566","ORD2AD3A38E6368","2786.77","Last Click"
"CONV0248E8FAFF2F","CAMP168AC0543F04","ORD235720E015ED","3445.84","Last Click"
"CONV024BFD4ADC87","CAMP98418BD1DC03","ORD55996E0721E4","3713.35","Last Click"
"CONV024CEFD15C2A","CAMPDDE8F1E2857F","ORD28F3CE28F308","1130.87","Linear"
"CONV0251F6C0FF26","CAMP636117845E39","ORD6FDC2AEF0304","4391.24","First Click"
"CONV0252EDFAFF0A","CAMP81781B240229","ORD79377C1B67E8","2555.78","Linear"
"CONV02561EDB9389","CAMP7837F98956F4","ORD4D9789302563","1409.36","Last Click"
"CONV02655AB44575","CAMP489C2EF01AA2","ORD9A6E203B7D86","3987.36","First Click"
"CONV0266968BE69C","CAMP9F9000FB7E97","ORD1A5F807EA9E9","3533.20","First Click"
"CONV02685E1892F7","CAMPFD3BE45692CA","ORDAD77C1B1DA0A","1697.17","First Click"
"CONV0272C5D31B38","CAMP2B53589A8898","ORDF034CCB0FC3B","3048.71","Linear"
"CONV0273C70EDC3E","CAMP2D1ECA778983","ORDF1A7A187D8BE","3803.02","Last Click"
"CONV027A03A001EF","CAMPB9729A8ABB8B","ORD316100A89556","1523.99","Last Click"
"CONV027A9D5F50B0","CAMP0DD7B622F13A","ORD2E2FC9BCD71F","3053.42","First Click"
"CONV027B3ED2BCB2","CAMPE5722704D2CB","ORD5AF3FAF8947E","4727.20","Linear"
"CONV028D3AC20936","CAMP441FF0EA4F5E","ORD90D0D326323D","3895.94","Last Click"
"CONV028D3B95F156","CAMPE09C18C3CDAD","ORD5D35DFAED1D5","2012.50","First Click"
"CONV029C77BB48A7","CAMP5B8834C640A6","ORD47ED630773E9","2388.83","Last Click"
"CONV02ACBBC0B0A9","CAMPC609A1F59248","ORDFF81A8FAC7CD","2434.14","Last Click"
"CONV02ADE3B710E7","CAMP8BBDFD0EE962","ORD8C50CA0F1422","2906.96","First Click"
"CONV02B82CB0A429","CAMPDD7AB7C84816","ORD7F6FCB7A0588","2101.90","Last Click"
"CONV02BDB45CA853","CAMP4895343E37A1","ORD1E3B31E4D8D8","4130.13","Last Click"
"CONV02C4AEFA1DA6","CAMPEF66D1A924B8","ORD7BD44061DD49","3953.98","First Click"
"CONV02CAE292D5EF","CAMP6D0D24773F65","ORD4247DE57B187","2002.87","First Click"
"CONV02E207F229C5","CAMPD108148DF57F","ORD0E3678CADD12","4018.66","First Click"
"CONV02E99989B598","CAMP070D86B19879","ORD65F71007E8A1","4678.60","Last Click"
"CONV02EB323C9CA3","CAMP547489604242","ORDA3214B697569","3116.88","Linear"
"CONV02EBBE6C6DD7","CAMP921D83FC734C","ORD1F37108DC2B2","4633.86","First Click"
"CONV02F4B5DFCDDD","CAMP62243FCFE13C","ORD00D7C97E847D","3828.05","First Click"
"CONV02FBF00692EE","CAMPD3381BC099B8","ORD5A6B5F3E285B","4864.39","Linear"
"CONV02FFBE9F439E","CAMP2EBC6CFA8511","ORD247B78BF10E1","4968.21","First Click"
"CONV030004DD2249","CAMPEE79357F118B","ORD8E04BBB06FC7","2219.96","Linear"
"CONV030344540B56","CAMP81781B240229","ORD92B23F8CE897","3639.60","First Click"
"CONV0306B6623D08","CAMP08AB7BDE8797","ORD7E645F68F02C","1772.68","Last Click"
"CONV030CDF70A6A0","CAMP8C80445776CB","ORDBDEE4226ED7D","3264.03","First Click"
"CONV0314B2A3B11D","CAMP7B37E3BFCBD6","ORD36AEFBF3D6CF","1532.42","First Click"
"CONV0314E943FE42","CAMP0351838C1135","ORDB4395D4857A5","2880.54","First Click"
"CONV031B75409E2A","CAMP08854B66EE84","ORDEA6A91166ED6","2076.50","Last Click"
"CONV03218500EE3B","CAMP561A9651B040","ORD7E77916A23D7","3801.93","Last Click"
"CONV0324F74FB03B","CAMP06E0C1E07AFD","ORDA8A632F39108","2362.90","Linear"
"CONV032CCD178FC5","CAMP7C07C0913C51","ORD325F7ED8419F","4743.47","Linear"
"CONV032DBA5F0744","CAMP3C834C898B86","ORD696F35316999","1541.73","First Click"
"CONV03307AB900BD","CAMP9045C00E3781","ORD4C37723695F3","4195.01","Last Click"
"CONV0333C53B438D","CAMP5D25EDCF36EF","ORDE7F60B346AFE","4928.46","Linear"
"CONV033B45F45329","CAMP8674DA486FC3","ORD458FEA454998","2704.37","Last Click"
"CONV033DB6A20C69","CAMPEC98D3171816","ORDFB4C5A76D42E","4321.75","Linear"
"CONV033E560BA2B1","CAMPDC10241C3F39","ORD0BE606D0C70E","2290.78","First Click"
"CONV0340E88B6194","CAMPF146BC13593F","ORDFB91A637F00E","1538.33","Linear"
"CONV0358F5DEA810","CAMP08854B66EE84","ORD4D2B457C2DB7","3827.67","First Click"
"CONV035AFF1EE1CA","CAMP08AB7BDE8797","ORD70CBE349D5D7","1579.93","Linear"
"CONV035B27B09D0B","CAMP9F9000FB7E97","ORD87CE7EEF556B","2963.77","Last Click"
"CONV0361EF24A03B","CAMP5876D4D66A33","ORD9FA921222223","3648.73","Linear"
"CONV036D3EFFF539","CAMP13A09D508EA9","ORD5C86408AF96F","3209.99","Last Click"
"CONV037243DA860A","CAMP65299DDA8C02","ORD42509D33FDF7","1293.13","First Click"
"CONV037615095092","CAMP7A0EAE812F63","ORD34A2D7C6CAF8","4671.26","Last Click"
"CONV037F58C0D949","CAMP5F48C648195B","ORD2607DE12D16D","3414.52","First Click"
"CONV0384F97DFD69","CAMPC85209DCA90D","ORDB63CFC1238BD","2812.80","Linear"
"CONV038B8FFEBE54","CAMP646AC9A17ABB","ORD8184DAA4344B","1586.63","First Click"
"CONV039093A6105D","CAMP787344A94AFD","ORD9E7085417A86","2752.06","Last Click"
"CONV0399FF0EDD06","CAMP1BAE7BEC53C5","ORD9DFA11400DA6","4743.75","Linear"
"CONV03A279FD7F1D","CAMPCB8BC5B1B3CE","ORD7C4CF6A7B565","3801.13","Last Click"
"CONV03B2080CDFC7","CAMP3F6A3725A914","ORD5298E3245DD8","1739.80","Last Click"
"CONV03B5612FA1A1","CAMP45464975FF39","ORDFC13A7CD9B71","4422.14","Linear"
"CONV03B5CB3F32FC","CAMP4150C68256A4","ORDB54586ADBB6D","3783.59","Last Click"
"CONV03B9ECD78A01","CAMPC9ECDB47D90B","ORD208B90255D96","2015.21","First Click"
"CONV03BEBF98EA0B","CAMP67CDAF9D9CF7","ORD270CAE32935E","2779.41","Linear"
"CONV03BF81C282A7","CAMPAD40ED6536CF","ORD1B01D5473B91","3197.17","Linear"
"CONV03CDF7937140","CAMP9619CAAC96F0","ORD6A9339220687","1202.32","Linear"
"CONV03D79E85E1E7","CAMP6274B38CA426","ORDFA98BF9A4C43","1315.85","Linear"
"CONV03E0087FFC19","CAMP46D3EE401B15","ORD54AFDFFDA060","1735.39","Last Click"
"CONV03E075001CBA","CAMP4D7F5754FA9D","ORD96B40AF7C63F","2547.81","Linear"
"CONV03E0C7FCD3A5","CAMPD43BD505EDD3","ORDC7B37267D445","4469.98","Last Click"
"CONV03E6D2F20029","CAMP329000AA9400","ORD4AE735C25C09","2263.95","First Click"
"CONV03EE1E27A66F","CAMP51842F925093","ORD07317CD931ED","1502.28","First Click"
"CONV03F6AAFEC61B","CAMPBDF7B7F12F74","ORD7CA2FE92E41E","3524.70","First Click"
"CONV04072C923485","CAMPD8AB9C21DB0B","ORDBB4B5B1B402D","2933.47","First Click"
"CONV040AC629D7B3","CAMP0D81F86B9E57","ORDF8775BDC37B3","1365.92","First Click"
"CONV040F7AB32A3B","CAMP678BE234BF67","ORD6D8B5F6F243B","2351.08","Linear"
"CONV0416A2EB282A","CAMPFCD54DD44FDF","ORD2F70297BBC70","2085.51","First Click"
"CONV041B07392F4D","CAMPF5F356FCA79F","ORDE85E4B7E9FD1","4442.19","Linear"
"CONV041E8E3B3416","CAMPABF255E0DAB7","ORD7841F5CF8BF5","3595.36","Last Click"
"CONV042410B3178A","CAMP3060377D7998","ORDF2823239E83B","3443.90","Last Click"
"CONV0427C71460B0","CAMP1D2BB6D3874A","ORD9AF77AEE320D","3121.16","Linear"
"CONV042DA4C9D8BD","CAMP2B9A72570FE4","ORDD15BF0C41F53","1587.41","Last Click"
"CONV04477187BA83","CAMPB7CFDF4B1A64","ORDDFD3A229A4AA","3232.08","First Click"
"CONV04489E50AD50","CAMP28291D83002E","ORD2FD75374632C","3467.20","First Click"
"CONV045DE80CEED3","CAMP06225AF5546D","ORD8A08C04C4F0C","2058.60","Linear"
"CONV0461A82B2C4B","CAMP333E70D49821","ORDD7084C27C206","2962.73","Linear"
"CONV0466160A6E31","CAMP92379BF849F9","ORD572446ED79F0","1814.29","First Click"
"CONV04665A6BC695","CAMP65299DDA8C02","ORD4C1E07361559","2422.05","Last Click"
"CONV04746226757A","CAMP01AEF7D67444","ORDEFA700CE615C","3779.73","Last Click"
"CONV0486E0DCB16C","CAMPDC10241C3F39","ORD86C68EAA4F4F","4052.25","Linear"
"CONV0487B94BF0D0","CAMP329000AA9400","ORDE76CEDCA41B3","4148.82","First Click"
"CONV048D5F8D5C5C","CAMPFA3A5271238D","ORDFE3BA93639E6","1804.64","Linear"
"CONV04971C168B3D","CAMPE2ACDD08B790","ORD0C5E911D9E31","3993.43","Last Click"
"CONV04BA97E2F5C9","CAMP8C80445776CB","ORDC4137A620F4B","4320.81","Linear"
"CONV04C40DC552FE","CAMP7A0DB2027044","ORD2463F4186430","2435.18","First Click"
"CONV04CCD5B10546","CAMPAAB6C25423AA","ORD2A91AEEF9051","2727.76","Linear"
"CONV04CD9BA62E20","CAMP7A0EAE812F63","ORDC12CDD8B8606","1774.63","First Click"
"CONV04D46CE50882","CAMP7837F98956F4","ORD66F79905B6B5","3637.55","Linear"
"CONV04D506A029EB","CAMP855D3DDAA7E1","ORD6E9DC004D6DC","2107.69","Linear"
"CONV04DD79BD65C7","CAMPDD7AB7C84816","ORDB485D13E44AA","3158.83","First Click"
"CONV04E1B7BE5B0C","CAMP52A006F7C080","ORDD8017B002C6A","3530.37","Linear"
"CONV04E7BE0980BE","CAMP7B47E9A28EE7","ORD47376157B9D8","4240.48","First Click"
"CONV04F78F7982C7","CAMPF146BC13593F","ORD8C916B886ED1","2147.63","Linear"
"CONV04FB7D80B96D","CAMP93C0CA33B5D1","ORDB91DE83C5679","2544.55","First Click"
"CONV04FE2A4164C2","CAMP2084B212494A","ORD9186E51982F6","1172.39","Last Click"
"CONV0500ACD4F667","CAMP2DA74A93B1BA","ORD7FCC328D9347","2845.85","Linear"
"CONV051536CAB220","CAMP25BC3D385E45","ORDC29815A221C5","1664.53","First Click"
"CONV051EA4BCD6AA","CAMPE49B4253C117","ORD8F5BFA5F808D","3934.22","First Click"
"CONV0525243D4AF0","CAMPE0A5BA7BB46B","ORD60F593FC13B6","2899.08","First Click"
"CONV052E8FC583BA","CAMP2699DF7829CF","ORD830DDC4B9D70","2288.95","First Click"
"CONV053534C917A3","CAMP96E7DBCCAF11","ORDE6872931BF65","4601.60","First Click"
"CONV053CC3C63DC0","CAMPAF1B3FEF430A","ORD8E04E80C83AE","2705.59","Last Click"
"CONV0546531AD81F","CAMP16F361A41FCF","ORD0E73DE2BECE0","1148.58","First Click"
"CONV056120B41C89","CAMP841DCE4468D8","ORD6B672C61CE8D","1830.78","First Click"
"CONV0566D93DB615","CAMP6647D43FC242","ORDC33B1B651E2E","4383.90","Last Click"
"CONV056E6C71976A","CAMP5B08A377D722","ORDB25D73ABDFD0","4428.18","First Click"
"CONV057275702E8B","CAMP4150C68256A4","ORD87B9CD42C494","1878.03","Linear"
"CONV0574F20DDFBA","CAMP609D1846262D","ORDA699385006A3","3258.87","Linear"
"CONV057605802018","CAMP7F9BE6792822","ORD0FC3A6070162","2402.70","Last Click"
"CONV05774E8CE483","CAMP828905D41522","ORD4AD407D11623","2732.82","Linear"
"CONV0578D06CA536","CAMPCAC06CCA88B8","ORDB9901B75B76C","2995.16","Last Click"
"CONV057F6C0F207F","CAMPCB953413B2E4","ORD60CB74F6F5AE","3693.11","First Click"
"CONV0587E77DF787","CAMP3DCD4698F544","ORD4EDA96721816","1321.82","Linear"
"CONV058947F3CBEE","CAMP7292F0FE1275","ORD272B6978CF4B","4820.71","First Click"
"CONV058AAA2B3421","CAMP1D2BB6D3874A","ORD0FD481792A6D","2011.32","First Click"
"CONV058AC0961285","CAMPEEA9B2E5B1DD","ORDE5DAB3B70384","3779.98","Linear"
"CONV058CE992E45A","CAMPB7CFDF4B1A64","ORD0A186CE0164D","4868.90","First Click"
"CONV059214781BAE","CAMPB5D5FD8E3BC8","ORD51F4EEC961C7","3734.36","First Click"
"CONV059F0B2D4456","CAMPCC91619F24EA","ORD8D1AE95A5AF3","2572.44","Last Click"
"CONV059F6DD8C607","CAMPAB4EEC1D854D","ORD152CABBDB678","4305.22","Linear"
"CONV05B3DD618609","CAMP9619CAAC96F0","ORDFFE7E76FC910","3845.63","Last Click"
"CONV05B852DB9392","CAMPB83729CB3A75","ORDE731F73D420E","4964.39","Linear"
"CONV05B93FDE22E5","CAMPD8C5EBE8A1C2","ORDBE6AA26B0FBD","4031.15","First Click"
"CONV05B9F606FBCD","CAMP68D13DD1BA69","ORDB633F4EB0758","2113.87","Last Click"
"CONV05BE151AFB7A","CAMP3B1B56A97DF7","ORDFF775FDC692A","2967.49","First Click"
"CONV05C081EB7B4B","CAMP513815C80893","ORD8C534E8CD03E","4414.48","Last Click"
"CONV05C40F5D12FD","CAMP070D86B19879","ORDF688DB0CED53","4658.09","Linear"
"CONV05C50CE0209F","CAMP4CA69FCB633D","ORDC2311D6DFD81","3155.05","First Click"
"CONV05D968434632","CAMPDE9D1D02371A","ORD5D84AA9B7825","1686.05","First Click"
"CONV05DEDC8E09AB","CAMPD8AB9C21DB0B","ORD6A6CFCEF23E6","4100.79","Linear"
"CONV05E3183DB1DB","CAMP693885259C75","ORD4FBB726BF9C3","3719.25","First Click"
"CONV05E3E81BDFC3","CAMPAD722F8B2AE3","ORDD292A7E1732D","4899.92","First Click"
"CONV05F7FCFE6D48","CAMPC9ECDB47D90B","ORDD1F375EA8161","2902.75","First Click"
"CONV05FFF745EF79","CAMP22A66C491CAD","ORDE116B11FB35E","2164.63","Linear"
"CONV060210F71DC4","CAMP5FE850C14F97","ORD6F061AAD913A","2709.75","First Click"
"CONV06081059E12F","CAMP6BD91ADD21ED","ORD3A85DB6F2095","4623.37","Linear"
"CONV06095A3D7FC9","CAMP000B4E8D266B","ORD70E9BEF8040D","2413.95","Last Click"
"CONV060B96DF555D","CAMP4DC8BB866B94","ORD04AA3BF3066B","3010.75","First Click"
"CONV0616B02585B2","CAMP7EC3972B2DDC","ORD28114D5CECD2","2244.80","First Click"
"CONV061FD5CAEED9","CAMP168AC0543F04","ORD17588BD1C682","1375.13","Last Click"
"CONV06257047C6DF","CAMP6BD91ADD21ED","ORDFD438BC6D5E6","2277.27","Last Click"
"CONV0625ED8FC410","CAMP105F1C437901","ORD830F0AAB72B3","1453.21","Last Click"
"CONV062A477A1DA4","CAMP479BA669CD31","ORDB3A6EEF97FA3","1695.54","Last Click"
"CONV06379472B062","CAMPBEE32F460F0A","ORD4431BCEBECD4","1395.27","Last Click"
"CONV063B4FA600A4","CAMP487A17BBD6D2","ORDD79103788EBE","4303.98","First Click"
"CONV063D486915EB","CAMPBDF7B7F12F74","ORD1FEB7339D66C","3159.43","Linear"
"CONV063EAA7F86CE","CAMP52E357928AF8","ORD8981C2B4D30A","3442.68","Last Click"
"CONV0645BAC3FA7A","CAMP6B07B801A82B","ORDC11E1EEA2229","4606.36","Linear"
