"campaign_id","campaign_name","channel","budget","start_date","end_date","impressions","clicks","conversions","roas","cpa","ctr","ad_creative","influencer_id","target_audience","status"
"CAMP0679E0BE1555","Programmable exuding concept","Google Ads","113644.68","2025-08-25","2025-08-27",748491,29360,4844,"3.88","23.46","3.9226","Temporibus eaque error iste natus corrupti praesentium. Ipsa eligendi velit sequi.",NULL,"Female 33yo in Delhi","Cancelled"
"CAMP06E0C1E07AFD","Streamlined zero administration methodology","Instagram","580038.40","2024-10-03","2025-08-14",840104,21316,2839,"2.04","204.31","2.5373","Ipsam quaerat quod aspernatur. Occaecati minus illum quisquam incidunt adipisci error neque.","INFLE5427438D1D3","Female 35yo in Ahmedabad","Completed"
"CAMP070D86B19879","Multi-lateral national task-force","Other","407636.27","2025-08-12","2025-09-02",69185,2085,97,"3.24","4202.44","3.0137","Recusandae impedit molestiae numquam illo illo rem. Quisquam illo reiciendis quo ipsum officiis.",NULL,"Female 20yo in Ahmedabad","Cancelled"
"CAMP077D3A0EEF51","Managed homogeneous attitude","Facebook","815442.05","2025-05-13","2025-07-29",738479,35775,3170,"2.67","257.24","4.8444","Temporibus excepturi eum quo incidunt pariatur molestias. Tenetur reiciendis et quo unde quisquam.",NULL,"Female 33yo in Jaipur","Paused"
"CAMP07C32B2AF9ED","Face-to-face national implementation","Google Ads","975711.90","2024-09-26","2024-11-30",206463,4426,882,"3.31","1106.25","2.1437","Asperiores in repudiandae. Numquam dolore cupiditate assumenda. Animi odit fugiat non amet iusto.",NULL,"Other 20yo in Ahmedabad","Completed"
"CAMP07D9484BFFCA","User-friendly encompassing project","TikTok","352331.35","2024-10-31","2025-05-03",334661,4935,923,"3.77","381.72","1.4746","Numquam quaerat enim ex. Repellat minus deleniti dolores.",NULL,"Male 24yo in Bangalore","Paused"
"CAMP080D98A6B520","Compatible intangible groupware","Email","810033.18","2024-10-19","2024-12-13",852936,108,16,"3.58","50627.07","0.0127","Commodi explicabo quaerat non vel voluptas deserunt.",NULL,"Female 22yo in Kolkata","Paused"
"CAMP08854B66EE84","Secured mission-critical collaboration","Other","201995.29","2025-05-06","2025-08-08",940315,24341,3016,"1.86","66.97","2.5886","Vero eos maxime cupiditate porro. Optio nostrum saepe minus nisi aliquam repellendus.",NULL,"Female 27yo in Chennai","Active"
"CAMP08AB7BDE8797","Focused solution-oriented database","Other","33107.54","2024-11-29","2025-09-10",585945,28622,335,"2.02","98.83","4.8848","Esse commodi reiciendis perspiciatis at provident corrupti iusto.",NULL,"Other 28yo in Delhi","Cancelled"
"CAMP097F1BE9AE99","Reactive local superstructure","YouTube","805063.53","2025-01-05","2025-07-25",677673,17948,2258,"3.40","356.54","2.6485","Doloremque corporis sequi animi nulla saepe saepe. Hic perferendis laboriosam amet fuga earum.",NULL,"Other 34yo in Mumbai","Paused"
"CAMP0A5883C95233","Operative multimedia synergy","Google Ads","778164.45","2024-10-09","2025-08-07",937033,7700,164,"3.56","4744.91","0.8217","Dignissimos expedita optio expedita commodi. Sequi esse omnis cum.",NULL,"Female 33yo in Lucknow","Paused"
"CAMP0AA257CA236A","Triple-buffered discrete extranet","Google Ads","568924.59","2025-07-12","2025-07-19",578534,22969,3428,"1.29","165.96","3.9702","Amet beatae optio repellat sint. Debitis est quod enim qui nisi explicabo.
Alias magni repellendus.",NULL,"Male 32yo in Ahmedabad","Cancelled"
"CAMP0AC866C6F79D","Open-source static access","Email","303163.90","2025-01-27","2025-02-17",809350,208,34,"1.52","8916.59","0.0257","Nemo aliquid doloremque ut nemo ipsa maxime animi. Excepturi praesentium laborum neque.",NULL,"Other 22yo in Lucknow","Completed"
"CAMP0B7754B7BD1B","Grass-roots value-added frame","Google Ads","19375.84","2025-09-05","2025-09-06",32293,3158,20,"2.04","968.79","9.7792","Repudiandae iste placeat eveniet.",NULL,"Other 21yo in Pune","Active"
"CAMP0B7BF1D01BCF","Ergonomic optimal info-mediaries","Google Ads","868088.22","2025-07-29","2025-09-14",65326,1510,297,"1.89","2922.86","2.3115","Nulla molestiae fugiat est. Ipsum architecto consequatur veniam.
Cum voluptatum id voluptatem.",NULL,"Female 31yo in Kolkata","Completed"
"CAMP0CECD9859157","Object-based dynamic architecture","Instagram","717810.71","2025-09-02","2025-09-04",19209,1087,68,"4.25","10556.04","5.6588","Nam labore ab natus eaque consequatur cumque quibusdam.","INFLB527D6E80864","Other 26yo in Pune","Active"
"CAMP0D81F86B9E57","Innovative intangible strategy","Instagram","903308.30","2025-06-10","2025-06-15",226010,9359,313,"1.92","2885.97","4.1410","Ullam eligendi eveniet ex. Ducimus cum hic animi atque dolorum nemo. Mollitia accusamus aliquid.",NULL,"Male 30yo in Mumbai","Paused"
"CAMP0DD7B622F13A","Realigned demand-driven project","TikTok","444461.64","2024-12-30","2025-06-08",252836,14670,1256,"2.77","353.87","5.8022","Nihil earum hic quis illo repellendus. Error quidem sit quas ex.",NULL,"Male 30yo in Ahmedabad","Paused"
"CAMP0F2BE6DF13F5","Advanced 24hour task-force","TikTok","998477.44","2024-12-17","2024-12-30",84941,167,12,"4.90","83206.45","0.1966","Quidem ad eius ut placeat. Suscipit expedita exercitationem sunt corporis dolorum commodi.",NULL,"Other 24yo in Mumbai","Paused"
"CAMP105F1C437901","Balanced empowering superstructure","Instagram","257025.92","2025-05-12","2025-07-02",214684,7596,103,"4.46","2495.40","3.5382","Assumenda cumque error excepturi quaerat. Quaerat minima error dicta explicabo id.",NULL,"Male 18yo in Delhi","Completed"
"CAMP12D08E5F6BA6","Managed didactic benchmark","TikTok","283024.82","2025-08-19","2025-09-16",449251,11434,1761,"4.49","160.72","2.5451","Ab ad possimus harum laudantium temporibus suscipit. Iusto accusantium sequi.",NULL,"Female 20yo in Kolkata","Cancelled"
"CAMP139BF37B8F5F","Switchable attitude-oriented circuit","YouTube","231632.71","2024-12-08","2025-07-18",799097,2529,217,"2.84","1067.43","0.3165","Cumque sapiente eaque porro nisi aut suscipit rem.","INFL38042597DABA","Female 24yo in Chennai","Paused"
"CAMP13A09D508EA9","Self-enabling zero administration projection","TikTok","127784.47","2025-03-01","2025-04-05",253583,1394,255,"4.84","501.12","0.5497","Officia incidunt blanditiis explicabo accusantium.",NULL,"Other 32yo in Hyderabad","Paused"
"CAMP1601D85E84C0","Automated hybrid frame","Instagram","528630.01","2025-04-19","2025-07-30",636741,38824,2814,"1.00","187.86","6.0973","Incidunt necessitatibus enim maiores. Quaerat repellat fugiat eos.",NULL,"Other 19yo in Pune","Paused"
"CAMP167F130DB44A","Open-source directional flexibility","Email","24044.79","2024-11-01","2024-12-22",83767,5737,522,"3.12","46.06","6.8488","Exercitationem eos illo maiores corporis. Similique sequi iusto quae eum consectetur velit.",NULL,"Female 24yo in Kolkata","Active"
"CAMP168AC0543F04","Robust grid-enabled knowledgebase","Facebook","504568.13","2024-09-25","2025-03-19",304238,25064,3388,"4.15","148.93","8.2383","In in tempora labore nisi voluptatum. Aspernatur voluptate illo odit atque.",NULL,"Other 27yo in Ahmedabad","Paused"
"CAMP16F361A41FCF","Focused intermediate portal","Facebook","137676.55","2025-05-06","2025-07-19",912688,5697,599,"4.39","229.84","0.6242","Quis laboriosam quasi ducimus voluptates vel deserunt. Iusto odit est veritatis autem.",NULL,"Female 34yo in Mumbai","Cancelled"
"CAMP1885ED5F4B55","Cross-platform global utilization","Facebook","986610.14","2025-01-20","2025-09-03",808131,72708,1958,"2.38","503.89","8.9971","Sed non quis unde nulla.",NULL,"Male 18yo in Mumbai","Active"
"CAMP18A1277D7D0B","Customizable asymmetric info-mediaries","Facebook","969781.88","2025-09-12","2025-09-12",770562,60045,8274,"1.69","117.21","7.7924","Inventore facilis quos esse deleniti ipsa ea. Quia corporis quidem pariatur nesciunt.",NULL,"Male 26yo in Kolkata","Completed"
"CAMP18A976001511","Implemented tertiary ability","Email","820525.16","2024-10-30","2025-01-14",278476,10095,1245,"2.89","659.06","3.6251","Odit soluta dolor. Quos totam rem laboriosam dignissimos nemo.",NULL,"Male 19yo in Kolkata","Cancelled"
"CAMP193256F0B0BD","Synergized didactic project","Facebook","428870.39","2025-08-06","2025-08-20",150241,4370,298,"5.00","1439.16","2.9087","Cupiditate commodi temporibus ab quae cupiditate. Laudantium sit fuga molestiae at explicabo quo.",NULL,"Female 30yo in Hyderabad","Active"
"CAMP1BAE7BEC53C5","Progressive discrete analyzer","YouTube","337319.02","2025-01-15","2025-08-29",513645,42754,8200,"3.80","41.14","8.3236","In harum provident culpa eos odit. Excepturi maiores in maxime qui.","INFLC04C4137EC4D","Female 33yo in Bangalore","Completed"
"CAMP1D2BB6D3874A","Monitored zero-defect portal","Facebook","393799.70","2025-03-05","2025-03-16",495692,23866,1084,"2.01","363.28","4.8147","Cumque ea perferendis quasi distinctio voluptates perferendis.",NULL,"Other 35yo in Chennai","Cancelled"
"CAMP1DD867518178","Sharable clear-thinking database","Facebook","120367.06","2025-04-19","2025-04-22",490737,41544,2281,"1.80","52.77","8.4656","Assumenda quia quaerat occaecati. Delectus minima culpa totam aliquam.",NULL,"Other 21yo in Jaipur","Paused"
"CAMP1E128BFD0D44","Multi-tiered well-modulated knowledge user","Other","826233.85","2025-03-26","2025-09-05",809713,62236,2622,"1.89","315.12","7.6862","Officiis totam ullam. Iure rem possimus totam eum.",NULL,"Male 20yo in Ahmedabad","Cancelled"
"CAMP1E9EB4AC3265","Switchable cohesive alliance","Facebook","774012.61","2025-02-22","2025-06-17",937276,44671,7365,"1.62","105.09","4.7660","Natus dolore odio soluta autem maiores.",NULL,"Other 34yo in Jaipur","Paused"
"CAMP1ED095B13B56","Synchronized responsive toolset","TikTok","355577.69","2025-03-12","2025-08-16",82156,298,12,"1.94","29631.47","0.3627","Eligendi blanditiis quasi modi in omnis. Dolore saepe itaque libero ad quis odit.",NULL,"Other 30yo in Bangalore","Completed"
"CAMP1FEC49774146","Inverse multi-tasking orchestration","YouTube","678545.56","2024-11-25","2025-04-02",95564,7157,652,"1.94","1040.71","7.4892","Dignissimos suscipit incidunt iste assumenda incidunt ipsum. Modi aliquam consequatur quaerat.","INFL5A88807FBB1D","Female 35yo in Kolkata","Completed"
"CAMP2084B212494A","Open-architected 24/7 attitude","Google Ads","572593.63","2025-03-20","2025-04-09",299247,28646,2234,"4.39","256.31","9.5727","Expedita repellat est doloremque debitis maxime recusandae. Est dignissimos atque nam.",NULL,"Other 24yo in Mumbai","Completed"
"CAMP209153311E2B","Extended intermediate success","TikTok","356142.84","2024-11-15","2025-03-02",695326,26415,2077,"4.92","171.47","3.7989","Quos voluptatibus voluptatum natus. Tempora commodi velit.",NULL,"Male 21yo in Hyderabad","Active"
"CAMP2091557BA4AD","Open-architected encompassing concept","YouTube","691805.02","2025-03-30","2025-04-03",66472,2475,222,"3.04","3116.24","3.7234","Architecto sed quas quidem sunt. Sit voluptas aliquid ipsa cumque pariatur libero.","INFL4573AD5A5A82","Other 24yo in Ahmedabad","Paused"
"CAMP214115BC17AC","Persistent dedicated support","Other","632094.26","2025-08-15","2025-09-03",504656,42499,881,"2.27","717.47","8.4214","Molestiae ex dolorum ea exercitationem voluptatem.",NULL,"Female 25yo in Pune","Paused"
"CAMP22554CC446F6","Persistent national open system","Email","82490.34","2025-02-01","2025-05-29",198079,3936,759,"4.28","108.68","1.9871","Non a inventore earum. Exercitationem molestiae soluta magnam perspiciatis sequi quis unde.",NULL,"Other 35yo in Delhi","Paused"
"CAMP228C2B974212","Monitored bottom-line productivity","Email","761698.57","2024-11-29","2025-04-02",444047,19088,1361,"3.61","559.66","4.2986","Quaerat deserunt ipsam quidem. Quidem asperiores ipsum perferendis id.
Iste quisquam iusto eius.",NULL,"Other 18yo in Ahmedabad","Active"
"CAMP22A66C491CAD","Universal scalable array","Email","94998.52","2025-07-05","2025-08-24",342101,31516,2785,"4.99","34.11","9.2125","Temporibus consequatur odio nobis.",NULL,"Female 32yo in Jaipur","Active"
"CAMP22A75CE93470","Triple-buffered scalable synergy","Instagram","254887.88","2025-03-19","2025-09-07",377236,31945,3873,"4.20","65.81","8.4682","Nihil earum veritatis nobis mollitia. Cumque cum porro. Quasi eligendi qui.",NULL,"Other 27yo in Delhi","Active"
"CAMP232925316C44","De-engineered 3rdgeneration project","TikTok","480972.76","2025-04-03","2025-04-26",172849,11440,1481,"1.75","324.76","6.6185","Odit nisi dicta minima repellat veniam quod. Doloribus nihil ducimus quos corporis.",NULL,"Male 35yo in Jaipur","Paused"
"CAMP23EE0602913C","Balanced mission-critical complexity","Google Ads","319752.21","2024-11-30","2025-06-06",90329,667,105,"2.09","3045.26","0.7384","Tenetur dolorem eaque perferendis laborum aliquid odit. Autem ipsam quo cupiditate.",NULL,"Female 18yo in Delhi","Active"
"CAMP24101BD474C3","Down-sized human-resource frame","TikTok","573066.25","2025-01-08","2025-08-03",412537,5931,959,"2.76","597.57","1.4377","Quam reiciendis ullam est. Ducimus dicta maxime sequi. In error vel excepturi.",NULL,"Male 24yo in Chennai","Cancelled"
"CAMP2436A50DB785","Multi-tiered neutral encoding","Other","618825.16","2025-08-06","2025-08-19",715557,13082,1360,"4.09","455.02","1.8282","Rerum veritatis sequi ipsum voluptatem eligendi. Neque ducimus harum sed.",NULL,"Female 32yo in Kolkata","Paused"
"CAMP249E2C293117","Front-line intangible intranet","Google Ads","61228.04","2025-03-20","2025-09-05",227155,12296,752,"4.29","81.42","5.4130","Quas repudiandae dolorum quis recusandae.
Vel error veritatis consectetur.",NULL,"Other 20yo in Lucknow","Active"
"CAMP24F4471B32C5","Multi-layered even-keeled approach","YouTube","71670.04","2025-03-21","2025-08-16",571493,31663,874,"4.30","82.00","5.5404","Ipsa animi fugit ipsum magnam sequi quis. Eaque magni accusantium quidem adipisci.",NULL,"Other 31yo in Ahmedabad","Active"
"CAMP251B0D9B6354","Balanced leadingedge algorithm","Instagram","64258.50","2024-11-03","2024-11-15",425064,33899,4525,"4.19","14.20","7.9750","Minus perferendis illo inventore perspiciatis officia atque. Enim accusantium veniam similique.","INFL548F9E46B46A","Other 32yo in Mumbai","Paused"
"CAMP25BC3D385E45","Down-sized web-enabled attitude","Email","738975.96","2025-04-03","2025-07-01",975797,49502,9470,"3.85","78.03","5.0730","Deleniti reiciendis esse deleniti sapiente. Cupiditate magni eum. Velit veniam facilis.",NULL,"Female 27yo in Bangalore","Cancelled"
"CAMP266CB3CB333D","Mandatory 3rdgeneration task-force","YouTube","663854.97","2025-05-20","2025-08-23",580035,7972,419,"3.07","1584.38","1.3744","Nam qui consequatur autem nam quo. Tenetur voluptatibus eaque ut quo doloremque sed occaecati.","INFL4EF34482A38A","Male 34yo in Kolkata","Active"
"CAMP2672A8C142FA","Reduced coherent toolset","Google Ads","384611.37","2025-08-22","2025-08-25",950064,1243,60,"3.74","6410.19","0.1308","Delectus aliquam facilis quod ducimus. Dolorem assumenda placeat labore.",NULL,"Male 29yo in Lucknow","Completed"
"CAMP2699DF7829CF","Re-contextualized object-oriented implementation","YouTube","445949.50","2024-09-25","2024-12-23",510883,8446,272,"3.98","1639.52","1.6532","Ad fugit ratione. Maxime numquam at explicabo assumenda rerum voluptate.","INFLA8176B09CC04","Other 23yo in Lucknow","Paused"
"CAMP27285DEA5820","Profound dedicated protocol","Google Ads","299446.55","2025-07-16","2025-09-08",575955,25430,1412,"3.33","212.07","4.4153","Eius sapiente qui fuga eos. Ab quod eum velit quam atque voluptas.",NULL,"Female 34yo in Delhi","Paused"
"CAMP28291D83002E","Polarized bottom-line portal","Other","576784.72","2025-08-18","2025-09-01",449171,2399,87,"3.99","6629.71","0.5341","Non amet dolores voluptate ad. Asperiores nostrum nam voluptas vel nostrum quis.",NULL,"Female 22yo in Jaipur","Completed"
"CAMP283B9F5017EB","De-engineered grid-enabled frame","Google Ads","424945.56","2025-03-16","2025-08-16",333229,11403,717,"4.87","592.67","3.4220","Exercitationem eos minus adipisci sed numquam qui. Sapiente beatae facere.",NULL,"Male 29yo in Ahmedabad","Paused"
"CAMP2B191DC99304","Monitored modular installation","Instagram","102376.56","2025-04-03","2025-08-03",670006,33422,1736,"2.54","58.97","4.9883","Voluptatem ad facilis eius. Fuga assumenda quam eveniet deleniti laborum.",NULL,"Other 20yo in Delhi","Paused"
"CAMP2B53589A8898","Automated solution-oriented intranet","Other","793628.98","2025-02-04","2025-05-24",910241,54320,10387,"4.28","76.41","5.9677","Omnis id nesciunt consequatur. Est odit aut optio placeat aspernatur.",NULL,"Other 26yo in Mumbai","Active"
"CAMP2B9A72570FE4","Mandatory zero-defect analyzer","TikTok","399744.81","2025-07-17","2025-07-24",509717,32628,151,"4.57","2647.32","6.4012","Tempore laboriosam a hic explicabo.",NULL,"Male 19yo in Lucknow","Completed"
"CAMP2C675CA478CE","Team-oriented didactic projection","Facebook","448220.56","2025-04-02","2025-08-07",88552,8269,1415,"4.16","316.76","9.3380","Cum optio repudiandae nesciunt. Iusto dolores libero similique nobis animi vel.",NULL,"Male 23yo in Ahmedabad","Active"
"CAMP2CDFB494CF82","Organized disintermediate process improvement","Google Ads","101634.67","2025-08-25","2025-09-05",879318,19014,2271,"3.23","44.75","2.1624","Molestiae quis alias sed corrupti nisi distinctio. Et delectus assumenda nesciunt.",NULL,"Female 28yo in Kolkata","Completed"
"CAMP2D1BC56E239E","Universal mobile secured line","Instagram","674209.13","2025-01-11","2025-02-16",44331,1907,144,"2.28","4682.01","4.3017","Voluptatibus expedita atque voluptas totam praesentium.",NULL,"Male 27yo in Bangalore","Completed"
"CAMP2D1ECA778983","User-centric hybrid flexibility","Other","501251.66","2025-04-23","2025-07-08",722720,12469,2331,"4.43","215.04","1.7253","Iure veritatis asperiores occaecati ab. Perspiciatis libero iste sed dolor nulla.",NULL,"Other 35yo in Mumbai","Cancelled"
"CAMP2DA74A93B1BA","Multi-layered client-driven software","TikTok","31924.25","2025-06-30","2025-07-14",269973,11031,2102,"2.40","15.19","4.0860","Similique error non mollitia.",NULL,"Male 19yo in Mumbai","Active"
"CAMP2DADFA292566","Ergonomic bandwidth-monitored functionalities","TikTok","25746.03","2025-03-29","2025-07-06",520937,16104,847,"1.48","30.40","3.0914","Ipsam sequi amet magni neque. Sint laborum voluptatem eveniet perferendis eos.",NULL,"Male 27yo in Bangalore","Cancelled"
"CAMP2EBC6CFA8511","Innovative secondary software","Other","36204.83","2025-06-29","2025-09-16",366032,34810,2246,"3.92","16.12","9.5101","Iste et veniam ducimus recusandae vel. Tenetur dicta quibusdam magni magnam quidem id.",NULL,"Male 20yo in Jaipur","Completed"
"CAMP2F181D04F566","Down-sized discrete instruction set","Facebook","625144.27","2025-04-19","2025-05-25",62581,894,90,"3.71","6946.05","1.4285","Ratione iure velit. Tenetur animi explicabo impedit. Recusandae reiciendis molestiae nesciunt.",NULL,"Other 32yo in Delhi","Active"
"CAMP2FA3274C20DA","Networked impactful utilization","Email","100213.76","2025-05-03","2025-06-08",502172,9640,1906,"3.97","52.58","1.9197","A quas maiores est illo molestiae. Quia repellat eos officia magni.",NULL,"Female 21yo in Hyderabad","Completed"
"CAMP2FF8DA51E739","Enterprise-wide cohesive function","Instagram","44331.82","2025-03-26","2025-07-28",932770,89492,15634,"4.17","2.84","9.5942","Molestiae quasi quo molestias harum fugit a quod.",NULL,"Other 31yo in Kolkata","Cancelled"
"CAMP3060377D7998","Advanced logistical groupware","Instagram","55231.91","2025-05-26","2025-06-22",868392,35410,4910,"4.61","11.25","4.0777","Quibusdam molestiae esse exercitationem esse explicabo. Odit illo hic enim dolore.",NULL,"Other 19yo in Mumbai","Active"
"CAMP31B764DD387F","Balanced cohesive policy","Other","768003.97","2024-12-06","2025-06-22",802311,51282,3636,"1.18","211.22","6.3918","Quos nesciunt deleniti cum itaque at. Rerum est deleniti beatae sequi repellat autem nemo.",NULL,"Other 30yo in Mumbai","Completed"
"CAMP329000AA9400","Digitized next generation strategy","Email","356640.60","2025-06-11","2025-08-11",521470,2800,87,"2.26","4099.32","0.5369","Exercitationem fugiat corrupti reprehenderit cum. Ipsam in quos consequuntur minus.",NULL,"Female 23yo in Jaipur","Paused"
"CAMP333E70D49821","Switchable multi-tasking adapter","Instagram","386038.71","2025-09-07","2025-09-14",195240,3228,542,"4.06","712.25","1.6533","Deleniti atque provident suscipit. Eos laudantium quasi magnam ipsa.",NULL,"Male 30yo in Chennai","Completed"
"CAMP336EDAC90042","Re-contextualized contextually-based project","Facebook","361643.02","2025-03-27","2025-04-17",652428,24617,3404,"1.86","106.24","3.7731","Fugiat perspiciatis quasi veniam mollitia. Culpa placeat repellat rerum omnis reiciendis.",NULL,"Female 25yo in Chennai","Completed"
"CAMP345DA88B4C4E","Enterprise-wide uniform task-force","Facebook","628413.24","2024-10-13","2024-11-02",247276,13174,2096,"1.12","299.82","5.3277","Repellat dignissimos pariatur pariatur non ad. Sapiente consectetur consequatur delectus voluptate.",NULL,"Female 34yo in Kolkata","Active"
"CAMP34E0C02BC897","Innovative object-oriented ability","Email","466461.60","2025-09-05","2025-09-11",39375,3288,325,"2.48","1435.27","8.3505","Voluptate ratione hic architecto et. At totam iste dicta. Quis nam neque minus earum.",NULL,"Female 23yo in Kolkata","Active"
"CAMP37D7406F7C3C","Seamless regional system engine","Facebook","772124.99","2024-09-17","2024-10-13",24751,355,51,"3.57","15139.71","1.4343","Mollitia assumenda laudantium eos sint eligendi. Eaque ducimus impedit ut facere fugit.",NULL,"Female 22yo in Jaipur","Cancelled"
"CAMP38392ACCAB98","Seamless discrete challenge","TikTok","945998.25","2025-01-09","2025-01-14",49847,868,11,"1.52","85999.84","1.7413","Corporis nemo esse. Eligendi praesentium aliquid soluta nulla ea repellat eaque.",NULL,"Other 19yo in Mumbai","Active"
"CAMP3962B0221EA0","Function-based transitional ability","Instagram","379966.78","2024-10-24","2025-07-13",564976,2973,586,"3.14","648.41","0.5262","Molestiae autem non accusantium nemo. Aliquam sed magnam architecto facilis quas sed.","INFL9399C4CC5EEE","Female 22yo in Chennai","Cancelled"
"CAMP3A1D06DD1A6E","Programmable global customer loyalty","Google Ads","709769.35","2025-08-22","2025-08-22",229047,21646,2823,"4.04","251.42","9.4505","A velit esse corporis expedita nostrum voluptas voluptates.
Nesciunt laboriosam explicabo fuga.",NULL,"Female 23yo in Jaipur","Active"
"CAMP3A4B69313519","Persevering user-facing projection","YouTube","775984.66","2024-10-23","2025-08-08",785172,24393,2115,"4.65","366.90","3.1067","A perferendis pariatur ipsum impedit. Inventore ad repellat repellendus dolor eveniet ex.","INFLA531815949CB","Female 34yo in Ahmedabad","Active"
"CAMP3A8BB7D3B049","Face-to-face non-volatile parallelism","Email","34321.33","2025-08-23","2025-08-23",97886,8839,114,"2.82","301.06","9.0299","Natus dicta molestias fugit. Facere soluta doloremque quasi quisquam minima.",NULL,"Other 22yo in Bangalore","Active"
"CAMP3AA65B0A5EF9","Compatible background portal","Other","198128.34","2025-01-25","2025-08-17",477116,3687,527,"1.52","375.96","0.7728","Aliquam sint aliquid architecto ipsa. Totam laborum eos saepe.",NULL,"Male 20yo in Hyderabad","Cancelled"
"CAMP3B1B56A97DF7","Multi-lateral scalable analyzer","Google Ads","502290.22","2025-07-28","2025-08-10",977266,90221,10759,"3.99","46.69","9.2320","Quae ea voluptatum cum excepturi facilis.",NULL,"Other 18yo in Delhi","Paused"
"CAMP3C088DC57F95","Up-sized client-server solution","Facebook","595627.39","2024-11-04","2024-11-24",370039,16557,2659,"1.99","224.00","4.4744","Eius ea commodi quis quis ex. Sint aspernatur illo placeat debitis impedit.
Quae hic recusandae.",NULL,"Male 23yo in Jaipur","Active"
"CAMP3C5A86ABF287","Organized executive definition","Google Ads","640664.36","2025-01-26","2025-05-25",774062,3391,492,"1.22","1302.16","0.4381","Reiciendis nam accusamus sequi ut commodi. Accusamus corrupti laudantium laudantium.",NULL,"Male 33yo in Mumbai","Completed"
